SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
CH-THU,Thun,0,47927000
CH-THU,Thun,10,44587000
CH-THU,Thun,20,43303000
CH-THU,Thun,30,42110000
CH-THU,Thun,40,40550000
CH-THU,Thun,50,39083000
CH-THU,Thun,60,36973000
CH-THU,Thun,70,35321000
CH-THU,Thun,80,33762000
CH-THU,Thun,90,32569000
CH-THU,Thun,100,31560000
CH-THU,Thun,110,30404000
CH-THU,Thun,120,29259000
CH-THU,Thun,130,28056000
CH-THU,Thun,140,26759000
CH-THU,Thun,150,25093000
CH-THU,Thun,160,23241000
CH-THU,Thun,170,21574000
CH-THU,Thun,180,19593000
CH-THU,Thun,190,16667000
CH-THU,Thun,200,13889000
CH-THU,Thun,210,10370000
CH-THU,Thun,212,0
