SITE-ID,SITE-NAME,DEPTH,BATHYMETRY-AREA
US-Bmu,BigMuskellunge,0,3866522
US-Bmu,BigMuskellunge,1,3265595
US-Bmu,BigMuskellunge,2,2973027
US-Bmu,BigMuskellunge,3,2811699
US-Bmu,BigMuskellunge,4,2585302
US-Bmu,BigMuskellunge,5,2403574
US-Bmu,BigMuskellunge,6,2246654
US-Bmu,BigMuskellunge,7,1866963
US-Bmu,BigMuskellunge,8,1633293
US-Bmu,BigMuskellunge,9,1545934
US-Bmu,BigMuskellunge,10,1545934
US-Bmu,BigMuskellunge,11,1455083
US-Bmu,BigMuskellunge,12,1132522
US-Bmu,BigMuskellunge,13,1032502
US-Bmu,BigMuskellunge,14,904704
US-Bmu,BigMuskellunge,15,736021
US-Bmu,BigMuskellunge,16,640483
US-Bmu,BigMuskellunge,17,471347
US-Bmu,BigMuskellunge,18,226791
US-Bmu,BigMuskellunge,19,150913
US-Bmu,BigMuskellunge,20,80031
US-Bmu,BigMuskellunge,21,0
