SITE-ID,SITE-NAME,DEPTH,BATHYMETRY-AREA
US-GRN,Green,0,30115570.69
US-GRN,Green,1,29477895.6
US-GRN,Green,2,28840220.51
US-GRN,Green,3,27145084.58
US-GRN,Green,4,25601407.04
US-GRN,Green,5,23767858.64
US-GRN,Green,6,22716363.67
US-GRN,Green,7,21986286.18
US-GRN,Green,8,21559125.73
US-GRN,Green,9,21117558.83
US-GRN,Green,10,20687148.38
US-GRN,Green,11,20429210.69
US-GRN,Green,12,20201010.61
US-GRN,Green,13,19989522.26
US-GRN,Green,14,19774812.15
US-GRN,Green,15,19555926.39
US-GRN,Green,16,19325313.46
US-GRN,Green,17,19064806.8
US-GRN,Green,18,18798199.9
US-GRN,Green,19,18511372.59
US-GRN,Green,20,18256526.6
US-GRN,Green,21,18032273.95
US-GRN,Green,22,17820800.14
US-GRN,Green,23,17607675.52
US-GRN,Green,24,17394161.71
US-GRN,Green,25,17177634.49
US-GRN,Green,26,16956937.97
US-GRN,Green,27,16725947.22
US-GRN,Green,28,16478067.06
US-GRN,Green,29,16212995.27
US-GRN,Green,30,15935725.82
US-GRN,Green,31,15681933.32
US-GRN,Green,32,15411574.49
US-GRN,Green,33,15169641.13
US-GRN,Green,34,14927632.93
US-GRN,Green,35,14704018.57
US-GRN,Green,36,14502328.56
US-GRN,Green,37,14294935.46
US-GRN,Green,38,14076468.31
US-GRN,Green,39,13844918.71
US-GRN,Green,40,13602729.55
US-GRN,Green,41,13308444.18
US-GRN,Green,42,13015424.31
US-GRN,Green,43,12738361.36
US-GRN,Green,44,12476128.87
US-GRN,Green,45,12194706.67
US-GRN,Green,46,11900366.23
US-GRN,Green,47,11570901.7
US-GRN,Green,48,11188299.23
US-GRN,Green,49,10791752.11
US-GRN,Green,50,10381874.35
US-GRN,Green,51,9991344.351
US-GRN,Green,52,9642042.218
US-GRN,Green,53,9316618.699
US-GRN,Green,54,8996257.049
US-GRN,Green,55,8701581.113
US-GRN,Green,56,8421009.835
US-GRN,Green,57,8141318.7
US-GRN,Green,58,7859071.9
US-GRN,Green,59,7582433.302
US-GRN,Green,60,7264007.99
US-GRN,Green,61,6845884.056
US-GRN,Green,62,6045875.018
US-GRN,Green,63,5552118.073
US-GRN,Green,64,5152769.818
US-GRN,Green,65,4784184.573
US-GRN,Green,66,4456749.764
US-GRN,Green,67,4246321.587
US-GRN,Green,68,3993586.146
US-GRN,Green,69,2297967.524
US-GRN,Green,70,943812.5362
US-GRN,Green,71,469756.6813
US-GRN,Green,72,128822.1211
US-GRN,Green,73,0
