SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
DE-Rappbodep,rappbodep,0,218450.1719
DE-Rappbodep,rappbodep,1,173050.9531
DE-Rappbodep,rappbodep,2,147309.4375
DE-Rappbodep,rappbodep,3,130870.8359
DE-Rappbodep,rappbodep,4,116929.6328
DE-Rappbodep,rappbodep,5,105016.0547
DE-Rappbodep,rappbodep,6,89551.82031
DE-Rappbodep,rappbodep,7,74849.11719
DE-Rappbodep,rappbodep,8,61616.53125
DE-Rappbodep,rappbodep,9,48890.32813
DE-Rappbodep,rappbodep,10,36142.125
DE-Rappbodep,rappbodep,11,26109.10547
DE-Rappbodep,rappbodep,12,17563.41211
DE-Rappbodep,rappbodep,13,11147.95898
DE-Rappbodep,rappbodep,14,6377.82422
DE-Rappbodep,rappbodep,15,1806.91162
DE-Rappbodep,rappbodep,16,630.70123
DE-Rappbodep,rappbodep,17,21.91222
