SITE-ID,SITE-NAME,DEPTH,BATHYMETRY-AREA
US-FIS,Fish,0,874000
US-FIS,Fish,1,690430
US-FIS,Fish,2,549810
US-FIS,Fish,3,447400
US-FIS,Fish,4,415470
US-FIS,Fish,5,387650
US-FIS,Fish,6,360670
US-FIS,Fish,7,327300
US-FIS,Fish,8,294820
US-FIS,Fish,9,264030
US-FIS,Fish,10,234940
US-FIS,Fish,11,207540
US-FIS,Fish,12,181840
US-FIS,Fish,13,147180
US-FIS,Fish,14,113990
US-FIS,Fish,15,85030
US-FIS,Fish,16,50110
US-FIS,Fish,17,22270
US-FIS,Fish,18,5570
US-FIS,Fish,19,0
