SITE-ID,SITE-NAME,DEPTH,BATHYMETRY-AREA
US-CRY,Crystal,0,366550
US-CRY,Crystal,1,366541
US-CRY,Crystal,2,349313
US-CRY,Crystal,3,315958
US-CRY,Crystal,4,275639
US-CRY,Crystal,5,265376
US-CRY,Crystal,6,256945
US-CRY,Crystal,7,249248
US-CRY,Crystal,8,242284
US-CRY,Crystal,9,234582
US-CRY,Crystal,10,225789
US-CRY,Crystal,11,211861
US-CRY,Crystal,12,194999
US-CRY,Crystal,13,175207
US-CRY,Crystal,14,155047
US-CRY,Crystal,15,134521
US-CRY,Crystal,16,112895
US-CRY,Crystal,17,94568
US-CRY,Crystal,18,75141
US-CRY,Crystal,19,52049
US-CRY,Crystal,20,32256
US-CRY,Crystal,21,16128
US-CRY,Crystal,22,0
