SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA,ELEVATION_M
CZ-Zlu,Zlutice,6,1028200,503.7
CZ-Zlu,Zlutice,6.1,1017000,503.6
CZ-Zlu,Zlutice,6.2,1006400,503.5
CZ-Zlu,Zlutice,6.3,995800,503.4
CZ-Zlu,Zlutice,6.4,985200,503.3
CZ-Zlu,Zlutice,6.5,974600,503.2
CZ-Zlu,Zlutice,6.6,964000,503.1
CZ-Zlu,Zlutice,6.7,953400,503
CZ-Zlu,Zlutice,6.8,942800,502.9
CZ-Zlu,Zlutice,6.9,932200,502.8
CZ-Zlu,Zlutice,7,921600,502.7
CZ-Zlu,Zlutice,7.1,911000,502.6
CZ-Zlu,Zlutice,7.2,901500,502.5
CZ-Zlu,Zlutice,7.3,892000,502.4
CZ-Zlu,Zlutice,7.4,882500,502.3
CZ-Zlu,Zlutice,7.5,873000,502.2
CZ-Zlu,Zlutice,7.6,863500,502.1
CZ-Zlu,Zlutice,7.7,854000,502
CZ-Zlu,Zlutice,7.8,844500,501.9
CZ-Zlu,Zlutice,7.9,835000,501.8
CZ-Zlu,Zlutice,8,825500,501.7
CZ-Zlu,Zlutice,8.1,816000,501.6
CZ-Zlu,Zlutice,8.2,807800,501.5
CZ-Zlu,Zlutice,8.3,799600,501.4
CZ-Zlu,Zlutice,8.4,791400,501.3
CZ-Zlu,Zlutice,8.5,783200,501.2
CZ-Zlu,Zlutice,8.6,775000,501.1
CZ-Zlu,Zlutice,8.7,766800,501
CZ-Zlu,Zlutice,8.8,758600,500.9
CZ-Zlu,Zlutice,8.9,750400,500.8
CZ-Zlu,Zlutice,9,742200,500.7
CZ-Zlu,Zlutice,9.1,734000,500.6
CZ-Zlu,Zlutice,9.2,727100,500.5
CZ-Zlu,Zlutice,9.3,720200,500.4
CZ-Zlu,Zlutice,9.4,713300,500.3
CZ-Zlu,Zlutice,9.5,706400,500.2
CZ-Zlu,Zlutice,9.6,699500,500.1
CZ-Zlu,Zlutice,9.7,692600,500
CZ-Zlu,Zlutice,9.8,685700,499.9
CZ-Zlu,Zlutice,9.9,678800,499.8
CZ-Zlu,Zlutice,10,671900,499.7
CZ-Zlu,Zlutice,10.1,665000,499.6
CZ-Zlu,Zlutice,10.2,659400,499.5
CZ-Zlu,Zlutice,10.3,653800,499.4
CZ-Zlu,Zlutice,10.4,648200,499.3
CZ-Zlu,Zlutice,10.5,642600,499.2
CZ-Zlu,Zlutice,10.6,637000,499.1
CZ-Zlu,Zlutice,10.7,631400,499
CZ-Zlu,Zlutice,10.8,625800,498.9
CZ-Zlu,Zlutice,10.9,620200,498.8
CZ-Zlu,Zlutice,11,614600,498.7
CZ-Zlu,Zlutice,11.1,609000,498.6
CZ-Zlu,Zlutice,11.2,603600,498.5
CZ-Zlu,Zlutice,11.3,598100,498.4
CZ-Zlu,Zlutice,11.4,592700,498.3
CZ-Zlu,Zlutice,11.5,587200,498.2
CZ-Zlu,Zlutice,11.6,581800,498.1
CZ-Zlu,Zlutice,11.7,576300,498
CZ-Zlu,Zlutice,11.8,570900,497.9
CZ-Zlu,Zlutice,11.9,565400,497.8
CZ-Zlu,Zlutice,12,560000,497.7
CZ-Zlu,Zlutice,12.1,554500,497.6
CZ-Zlu,Zlutice,12.2,548700,497.5
CZ-Zlu,Zlutice,12.3,542900,497.4
CZ-Zlu,Zlutice,12.4,537100,497.3
CZ-Zlu,Zlutice,12.5,531300,497.2
CZ-Zlu,Zlutice,12.6,525500,497.1
CZ-Zlu,Zlutice,12.7,519700,497
CZ-Zlu,Zlutice,12.8,513900,496.9
CZ-Zlu,Zlutice,12.9,508100,496.8
CZ-Zlu,Zlutice,13,502300,496.7
CZ-Zlu,Zlutice,13.1,496500,496.6
CZ-Zlu,Zlutice,13.2,490400,496.5
CZ-Zlu,Zlutice,13.3,484200,496.4
CZ-Zlu,Zlutice,13.4,478100,496.3
CZ-Zlu,Zlutice,13.5,471900,496.2
CZ-Zlu,Zlutice,13.6,465800,496.1
CZ-Zlu,Zlutice,13.7,459600,496
CZ-Zlu,Zlutice,13.8,453500,495.9
CZ-Zlu,Zlutice,13.9,447300,495.8
CZ-Zlu,Zlutice,14,441200,495.7
CZ-Zlu,Zlutice,14.1,435000,495.6
CZ-Zlu,Zlutice,14.2,428600,495.5
CZ-Zlu,Zlutice,14.3,422200,495.4
CZ-Zlu,Zlutice,14.4,415800,495.3
CZ-Zlu,Zlutice,14.5,409400,495.2
CZ-Zlu,Zlutice,14.6,403000,495.1
CZ-Zlu,Zlutice,14.7,396600,495
CZ-Zlu,Zlutice,14.8,390200,494.9
CZ-Zlu,Zlutice,14.9,383800,494.8
CZ-Zlu,Zlutice,15,377400,494.7
CZ-Zlu,Zlutice,15.1,371000,494.6
CZ-Zlu,Zlutice,15.2,364500,494.5
CZ-Zlu,Zlutice,15.3,358000,494.4
CZ-Zlu,Zlutice,15.4,351500,494.3
CZ-Zlu,Zlutice,15.5,345000,494.2
CZ-Zlu,Zlutice,15.6,338600,494.1
CZ-Zlu,Zlutice,15.7,332100,494
CZ-Zlu,Zlutice,15.8,325600,493.9
CZ-Zlu,Zlutice,15.9,319100,493.8
CZ-Zlu,Zlutice,16,312600,493.7
CZ-Zlu,Zlutice,16.1,306100,493.6
CZ-Zlu,Zlutice,16.2,299700,493.5
CZ-Zlu,Zlutice,16.3,293300,493.4
CZ-Zlu,Zlutice,16.4,286900,493.3
CZ-Zlu,Zlutice,16.5,280500,493.2
CZ-Zlu,Zlutice,16.6,274100,493.1
CZ-Zlu,Zlutice,16.7,267600,493
CZ-Zlu,Zlutice,16.8,261200,492.9
CZ-Zlu,Zlutice,16.9,254800,492.8
CZ-Zlu,Zlutice,17,248400,492.7
CZ-Zlu,Zlutice,17.1,242000,492.6
CZ-Zlu,Zlutice,17.2,237500,492.5
CZ-Zlu,Zlutice,17.3,233000,492.4
CZ-Zlu,Zlutice,17.4,228500,492.3
CZ-Zlu,Zlutice,17.5,224000,492.2
CZ-Zlu,Zlutice,17.6,219500,492.1
CZ-Zlu,Zlutice,17.7,215000,492
CZ-Zlu,Zlutice,17.8,210500,491.9
CZ-Zlu,Zlutice,17.9,206000,491.8
CZ-Zlu,Zlutice,18,201500,491.7
CZ-Zlu,Zlutice,18.1,197000,491.6
CZ-Zlu,Zlutice,18.2,193600,491.5
CZ-Zlu,Zlutice,18.3,190200,491.4
CZ-Zlu,Zlutice,18.4,186800,491.3
CZ-Zlu,Zlutice,18.5,183400,491.2
CZ-Zlu,Zlutice,18.6,180000,491.1
CZ-Zlu,Zlutice,18.7,176600,491
CZ-Zlu,Zlutice,18.8,173200,490.9
CZ-Zlu,Zlutice,18.9,169800,490.8
CZ-Zlu,Zlutice,19,166400,490.7
CZ-Zlu,Zlutice,19.1,163000,490.6
CZ-Zlu,Zlutice,19.2,160100,490.5
CZ-Zlu,Zlutice,19.3,157200,490.4
CZ-Zlu,Zlutice,19.4,154300,490.3
CZ-Zlu,Zlutice,19.5,151400,490.2
