SITE_ID,SITE_NAME,TIMESTAMP,DEPTH,WTEMP,ELEVATION_M
CZ-Zlu,Zlutice,20030101,0.3,1.2,507.19
CZ-Zlu,Zlutice,20030102,0.3,1.4,507.19
CZ-Zlu,Zlutice,20030103,0.3,1.6,507.72
CZ-Zlu,Zlutice,20030104,0.3,1,507.94
CZ-Zlu,Zlutice,20030105,0.3,1,507.86
CZ-Zlu,Zlutice,20030106,0.3,0,507.72
CZ-Zlu,Zlutice,20030107,0.3,0,507.56
CZ-Zlu,Zlutice,20030108,0.3,0,507.38
CZ-Zlu,Zlutice,20030109,0.3,0,507.2
CZ-Zlu,Zlutice,20030110,0.3,0,506.97
CZ-Zlu,Zlutice,20030111,0.3,1,506.76
CZ-Zlu,Zlutice,20030112,0.3,1,506.56
CZ-Zlu,Zlutice,20030113,0.3,0,506.35
CZ-Zlu,Zlutice,20030114,0.3,0,506.26
CZ-Zlu,Zlutice,20030115,0.3,0,506.17
CZ-Zlu,Zlutice,20030116,0.3,0,506.06
CZ-Zlu,Zlutice,20030117,0.3,0,505.95
CZ-Zlu,Zlutice,20030118,0.3,0,505.81
CZ-Zlu,Zlutice,20030119,0.3,0,505.66
CZ-Zlu,Zlutice,20030120,0.3,0,505.52
CZ-Zlu,Zlutice,20030121,0.3,0,505.38
CZ-Zlu,Zlutice,20030122,0.3,0,505.23
CZ-Zlu,Zlutice,20030123,0.3,0,505.2
CZ-Zlu,Zlutice,20030124,0.3,0,505.17
CZ-Zlu,Zlutice,20030125,0.3,0,505.14
CZ-Zlu,Zlutice,20030126,0.3,0,505.11
CZ-Zlu,Zlutice,20030127,0.3,0,505.08
CZ-Zlu,Zlutice,20030128,0.3,0,505.07
CZ-Zlu,Zlutice,20030129,0.3,0,505.2
CZ-Zlu,Zlutice,20030130,0.3,0,505.24
CZ-Zlu,Zlutice,20030131,0.3,0,505.23
CZ-Zlu,Zlutice,20030201,0.3,0,505.2
CZ-Zlu,Zlutice,20030202,0.3,0,505.18
CZ-Zlu,Zlutice,20030203,0.3,0,505.15
CZ-Zlu,Zlutice,20030204,0.3,0,505.14
CZ-Zlu,Zlutice,20030205,0.3,0,505.12
CZ-Zlu,Zlutice,20030206,0.3,0,505.1
CZ-Zlu,Zlutice,20030207,0.3,0,505.05
CZ-Zlu,Zlutice,20030208,0.3,0,505.01
CZ-Zlu,Zlutice,20030209,0.3,0,504.96
CZ-Zlu,Zlutice,20030210,0.3,0,504.92
CZ-Zlu,Zlutice,20030211,0.3,0,504.86
CZ-Zlu,Zlutice,20030212,0.3,1,504.8
CZ-Zlu,Zlutice,20030213,0.3,1.3,504.73
CZ-Zlu,Zlutice,20030214,0.3,1,504.72
CZ-Zlu,Zlutice,20030215,0.3,1,504.72
CZ-Zlu,Zlutice,20030216,0.3,1,504.72
CZ-Zlu,Zlutice,20030217,0.3,1,504.72
CZ-Zlu,Zlutice,20030218,0.3,1,504.72
CZ-Zlu,Zlutice,20030219,0.3,1,504.72
CZ-Zlu,Zlutice,20030220,0.3,1,504.72
CZ-Zlu,Zlutice,20030221,0.3,1,504.71
CZ-Zlu,Zlutice,20030222,0.3,1,504.7
CZ-Zlu,Zlutice,20030223,0.3,1,504.69
CZ-Zlu,Zlutice,20030224,0.3,1,504.68
CZ-Zlu,Zlutice,20030225,0.3,1,504.69
