SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
ES-Sau,Sau,0,5999766.8
ES-Sau,Sau,0.54000000000002,5944169.15
ES-Sau,Sau,1.54000000000002,5810168.49
ES-Sau,Sau,2.54000000000002,5661639.35
ES-Sau,Sau,3.54000000000002,5534433.79
ES-Sau,Sau,4.54000000000002,5399721.46
ES-Sau,Sau,5.54000000000002,5264874.32
ES-Sau,Sau,6.54000000000002,5097163.86
ES-Sau,Sau,7.54000000000002,4960082.47
ES-Sau,Sau,8.54000000000002,4843177.19
ES-Sau,Sau,9.54000000000002,4720941.89
ES-Sau,Sau,10.54,4608242.26
ES-Sau,Sau,11.54,4495187.73
ES-Sau,Sau,12.54,4393014.88
ES-Sau,Sau,13.54,4292236.4
ES-Sau,Sau,14.54,4193774.53
ES-Sau,Sau,15.54,4084796.54
ES-Sau,Sau,16.54,3930219.88
ES-Sau,Sau,17.54,3790900.21
ES-Sau,Sau,18.54,3671706.4
ES-Sau,Sau,19.54,3563206.57
ES-Sau,Sau,20.54,3426626.36
ES-Sau,Sau,21.54,3326417.75
ES-Sau,Sau,22.54,3229475.01
ES-Sau,Sau,23.54,3135233.67
ES-Sau,Sau,24.54,3042020.04
ES-Sau,Sau,25.54,2945708.42
ES-Sau,Sau,26.54,2846967.51
ES-Sau,Sau,27.54,2724520.41
ES-Sau,Sau,28.54,2603570.27
ES-Sau,Sau,29.54,2508118.57
ES-Sau,Sau,30.54,2429669.31
ES-Sau,Sau,31.54,2359427.44
ES-Sau,Sau,32.54,2286898.45
ES-Sau,Sau,33.54,2223763.52
ES-Sau,Sau,34.54,2163313.5
ES-Sau,Sau,35.54,2105424.98
ES-Sau,Sau,36.54,2043286.52
ES-Sau,Sau,37.54,1967678.18
ES-Sau,Sau,38.54,1900664.32
ES-Sau,Sau,39.54,1839481.65
ES-Sau,Sau,40.54,1771416.04
ES-Sau,Sau,41.54,1708788.54
ES-Sau,Sau,42.54,1651208.45
ES-Sau,Sau,43.54,1592274.14
ES-Sau,Sau,44.54,1532486.8
ES-Sau,Sau,45.54,1469841.76
ES-Sau,Sau,46.54,1407411.7
ES-Sau,Sau,47.54,1340524.91
ES-Sau,Sau,48.54,1264399.52
ES-Sau,Sau,49.54,1169862.13
ES-Sau,Sau,50.54,1054817.24
ES-Sau,Sau,51.54,891087.99
ES-Sau,Sau,52.54,781758.22
ES-Sau,Sau,53.54,621455.23
ES-Sau,Sau,54.54,485032.18
ES-Sau,Sau,55.54,349191.39
ES-Sau,Sau,56.54,164635.5
ES-Sau,Sau,57.54,62376.85
ES-Sau,Sau,58.54,11244.41
ES-Sau,Sau,59.54,171
