SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
EE-Vor,Vortsjarv,0,270600000
EE-Vor,Vortsjarv,0.1,268800000
EE-Vor,Vortsjarv,0.2,267000000
EE-Vor,Vortsjarv,0.3,265400000
EE-Vor,Vortsjarv,0.4,263800000
EE-Vor,Vortsjarv,0.5,262200000
EE-Vor,Vortsjarv,0.6,260600000
EE-Vor,Vortsjarv,0.7,259000000
EE-Vor,Vortsjarv,0.8,256800000
EE-Vor,Vortsjarv,0.9,254600000
EE-Vor,Vortsjarv,1,252400000
EE-Vor,Vortsjarv,1.1,250200000
EE-Vor,Vortsjarv,1.2,248000000
EE-Vor,Vortsjarv,1.3,244800000
EE-Vor,Vortsjarv,1.4,241600000
EE-Vor,Vortsjarv,1.5,238400000
EE-Vor,Vortsjarv,1.6,235200000
EE-Vor,Vortsjarv,1.7,232000000
EE-Vor,Vortsjarv,1.8,226600000
EE-Vor,Vortsjarv,1.9,221200000
EE-Vor,Vortsjarv,2,215800000
EE-Vor,Vortsjarv,2.1,210400000
EE-Vor,Vortsjarv,2.2,205000000
EE-Vor,Vortsjarv,2.3,197400000
EE-Vor,Vortsjarv,2.4,189800000
EE-Vor,Vortsjarv,2.5,182200000
EE-Vor,Vortsjarv,2.6,174600000
EE-Vor,Vortsjarv,2.7,167000000
EE-Vor,Vortsjarv,2.8,156400000
EE-Vor,Vortsjarv,2.9,145800000
EE-Vor,Vortsjarv,3,135200000
EE-Vor,Vortsjarv,3.1,124600000
EE-Vor,Vortsjarv,3.2,114000000
EE-Vor,Vortsjarv,3.3,96600000
EE-Vor,Vortsjarv,3.4,79200000
EE-Vor,Vortsjarv,3.5,61800000
EE-Vor,Vortsjarv,3.6,44400000
EE-Vor,Vortsjarv,3.7,27000000
EE-Vor,Vortsjarv,3.8,23400000
EE-Vor,Vortsjarv,3.9,19800000
EE-Vor,Vortsjarv,4,16200000
EE-Vor,Vortsjarv,4.1,12600000
EE-Vor,Vortsjarv,4.2,9000000
EE-Vor,Vortsjarv,4.3,8000000
EE-Vor,Vortsjarv,4.4,7000000
EE-Vor,Vortsjarv,4.5,6000000
EE-Vor,Vortsjarv,4.6,5000000
EE-Vor,Vortsjarv,4.7,4000000
EE-Vor,Vortsjarv,4.8,3500000
EE-Vor,Vortsjarv,4.9,3000000
EE-Vor,Vortsjarv,5,2500000
EE-Vor,Vortsjarv,5.1,2000000
EE-Vor,Vortsjarv,5.2,1500000
EE-Vor,Vortsjarv,5.3,1360000
EE-Vor,Vortsjarv,5.4,1220000
EE-Vor,Vortsjarv,5.5,1080000
EE-Vor,Vortsjarv,5.6,940000
EE-Vor,Vortsjarv,5.7,800000
EE-Vor,Vortsjarv,5.8,600000
EE-Vor,Vortsjarv,5.9,400000
EE-Vor,Vortsjarv,6,200000
EE-Vor,Vortsjarv,6.1,0
