SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
CA-Eag,Eagle,0,6861600
CA-Eag,Eagle,0.19999957,6861600
CA-Eag,Eagle,0.29999948,6861600
CA-Eag,Eagle,0.39999938,6861600
CA-Eag,Eagle,0.49999952,6861600
CA-Eag,Eagle,0.5999994,6861600
CA-Eag,Eagle,0.6999996,6861600
CA-Eag,Eagle,0.7999995,6861600
CA-Eag,Eagle,0.8999995,6861600
CA-Eag,Eagle,0.9999995,6861600
CA-Eag,Eagle,1.0999995,6861600
CA-Eag,Eagle,1.1999995,6861600
CA-Eag,Eagle,1.2999995,6861600
CA-Eag,Eagle,1.3999995,6861600
CA-Eag,Eagle,1.4999995,6861600
CA-Eag,Eagle,1.5999995,6861600
CA-Eag,Eagle,1.6999995,6861600
CA-Eag,Eagle,1.7999995,6861600
CA-Eag,Eagle,1.8999995,6861600
CA-Eag,Eagle,1.9999995,6861600
CA-Eag,Eagle,2.0999994,6861600
CA-Eag,Eagle,2.1999996,6861600
CA-Eag,Eagle,2.2999995,6861600
CA-Eag,Eagle,2.3999996,6861600
CA-Eag,Eagle,2.4999995,6861600
CA-Eag,Eagle,2.5999994,6861600
CA-Eag,Eagle,2.6999996,6861600
CA-Eag,Eagle,2.7999995,6861600
CA-Eag,Eagle,2.8999996,6789600
CA-Eag,Eagle,2.9999995,6728400
CA-Eag,Eagle,3.0999994,6663600
CA-Eag,Eagle,3.1999996,6598800
CA-Eag,Eagle,3.2999995,6538500
CA-Eag,Eagle,3.3999996,6472800
CA-Eag,Eagle,3.4999995,6430500
CA-Eag,Eagle,3.5999994,6368400
CA-Eag,Eagle,3.6999996,6318900
CA-Eag,Eagle,3.7999995,6266700
CA-Eag,Eagle,3.8999996,6206400
CA-Eag,Eagle,3.9999995,6164100
CA-Eag,Eagle,4.0999994,6109200
CA-Eag,Eagle,4.2,6057000
CA-Eag,Eagle,4.2999997,6004800
CA-Eag,Eagle,4.3999996,5958000
CA-Eag,Eagle,4.4999995,5902200
CA-Eag,Eagle,4.5999994,5856300
CA-Eag,Eagle,4.7,5812200
CA-Eag,Eagle,4.799999,5764500
CA-Eag,Eagle,4.8999996,5723100
CA-Eag,Eagle,4.9999995,5686200
CA-Eag,Eagle,5.0999994,5644800
CA-Eag,Eagle,5.2,5611500
CA-Eag,Eagle,5.299999,5548500
CA-Eag,Eagle,5.3999996,5506200
CA-Eag,Eagle,5.4999995,5454900
CA-Eag,Eagle,5.5999994,5415300
CA-Eag,Eagle,5.7,5379300
CA-Eag,Eagle,5.799999,5331600
CA-Eag,Eagle,5.8999996,5283000
CA-Eag,Eagle,5.9999995,5257800
CA-Eag,Eagle,6.0999994,5225400
CA-Eag,Eagle,6.2,5185800
CA-Eag,Eagle,6.299999,5152500
CA-Eag,Eagle,6.3999996,5114700
CA-Eag,Eagle,6.4999995,5060700
CA-Eag,Eagle,6.5999994,5028300
CA-Eag,Eagle,6.7,5003100
CA-Eag,Eagle,6.7999997,4967100
CA-Eag,Eagle,6.8999996,4939200
CA-Eag,Eagle,6.9999995,4916700
CA-Eag,Eagle,7.0999994,4887900
CA-Eag,Eagle,7.2,4852800
CA-Eag,Eagle,7.2999997,4826700
CA-Eag,Eagle,7.3999996,4793400
CA-Eag,Eagle,7.4999995,4767300
CA-Eag,Eagle,7.5999994,4734000
CA-Eag,Eagle,7.7,4700700
CA-Eag,Eagle,7.7999997,4671900
CA-Eag,Eagle,7.8999996,4636800
CA-Eag,Eagle,7.9999995,4599900
CA-Eag,Eagle,8.099999,4555800
CA-Eag,Eagle,8.2,4524300
CA-Eag,Eagle,8.299999,4478400
CA-Eag,Eagle,8.4,4437900
CA-Eag,Eagle,8.5,4415400
CA-Eag,Eagle,8.599999,4388400
CA-Eag,Eagle,8.7,4364100
CA-Eag,Eagle,8.799999,4331700
CA-Eag,Eagle,8.9,4197600
CA-Eag,Eagle,9,4169700
CA-Eag,Eagle,9.099999,4144500
CA-Eag,Eagle,9.2,4121100
CA-Eag,Eagle,9.299999,4098600
CA-Eag,Eagle,9.4,4080600
CA-Eag,Eagle,9.5,4050000
CA-Eag,Eagle,9.599999,4032900
CA-Eag,Eagle,9.7,4012200
CA-Eag,Eagle,9.799999,3993300
CA-Eag,Eagle,9.9,3974400
CA-Eag,Eagle,10,3948300
CA-Eag,Eagle,10.099999,3938400
CA-Eag,Eagle,10.2,3916800
CA-Eag,Eagle,10.299999,3894300
CA-Eag,Eagle,10.4,3872700
CA-Eag,Eagle,10.5,3853800
CA-Eag,Eagle,10.599999,3834000
CA-Eag,Eagle,10.7,3820500
CA-Eag,Eagle,10.799999,3793500
CA-Eag,Eagle,10.9,3773700
CA-Eag,Eagle,11,3753900
CA-Eag,Eagle,11.099999,3734100
CA-Eag,Eagle,11.2,3714300
CA-Eag,Eagle,11.299999,3691800
CA-Eag,Eagle,11.4,3663900
CA-Eag,Eagle,11.5,3640500
