SITE-ID,SITE-NAME,DEPTH,BATHYMETRY-AREA
AU-Lbg,BurleyGriffin,0,6051600
AU-Lbg,BurleyGriffin,1,5507600
AU-Lbg,BurleyGriffin,2,4432400
AU-Lbg,BurleyGriffin,3,3396800
AU-Lbg,BurleyGriffin,4,2640400
AU-Lbg,BurleyGriffin,5,1898400
AU-Lbg,BurleyGriffin,6,1356800
AU-Lbg,BurleyGriffin,7,944400
AU-Lbg,BurleyGriffin,8,710800
AU-Lbg,BurleyGriffin,9,521600
AU-Lbg,BurleyGriffin,10,393200
AU-Lbg,BurleyGriffin,11,274800
AU-Lbg,BurleyGriffin,12,190400
AU-Lbg,BurleyGriffin,13,119600
AU-Lbg,BurleyGriffin,14,64800
AU-Lbg,BurleyGriffin,15,27200
AU-Lbg,BurleyGriffin,16,6800
AU-Lbg,BurleyGriffin,17,800
